Sample,,,,,,,[757] glycolic acid [7.049] Results,[5950] L-alanine 1 [7.4748] Results,[C8] Methyl Caprylate [7.812] Results,[971] oxalic acid [7.883] Results,[C9] Methyl Pelargonate [9.248] Results,[1004] phosphoric acid [9.966] Results,[750] glycine [10.456] Results,[C10] Methyl Caprate [10.647] Results,[439194] glyceric acid [10.735] Results,[5951] L-serine 2 [11.174] Results,[5950] L-alanine 2 [11.182] Results,[439742] beta-cyano-L-alanine [11.288] Results,[6288] L-threonine 2 [11.464] Results,[239] Beta- alanine  1 [12.044] Results,[92824] D-malic acid [12.794] Results,"[649] 5,6-dihydrouracil 2 [12.773] Results",[338] salicylic acid [13.075] Results,[C12] Methyl Laurate [13.250] Results,[5960] aspartic acid 2 [13.207] Results,[7405] L-pyroglutamic acid [13.218] Results,[119] gamma-aminobutyric acid (GABA) [13.326] Results,[5460407] threonic acid [13.652] Results,[51] alpha ketoglutaric acid [13.859] Results,[236] L-asparagine 1 [14.496] Results,[33032] L-glutamic acid 2 [14.398] Results,[135] 4-hydroxybenzoic acid [14.505] Results,"[428] 1,3-diaminopropane 1 [14.708] Results",[236] L-asparagine 2 [14.984] Results,[C14] Methyl Myristate [15.597] Results,[827] ribitol [15.66] Results,[754] glycerol 1-phosphate [16.056] Results,[738] L-glutamine 3 [16.092] Results,[8742] shikimic acid [16.433] Results,[311] citric acid [16.615] Results,[835] dehydroascorbic acid  1 [16.863] Results,[94214] methyl-beta-D-galactopyranoside   [16.935] Results,[6508] quinic acid [17.076] Results,[5984] fructose 1 [17.288] Results,[5984] fructose 2 [17.288] Results,[C16] Methyl Palmitate [17.723] Results,[24749] D-glucose 1 [17.426] Results,[5962] L-lysine 2 [17.643] Results,[24749] D-glucose 2 [17.625] Results,[6057] tyrosine 2 [17.871] Results,[5780] D-sorbitol [17.898] Results,[128869] galactonic acid 2 [18.504] Results,[985] palmitic acid [18.846] Results,[445858] ferulic acid [19.312] Results,[439184] ribulose-5-phosphate 3 [19.603] Results,[892] myo-inositol [19.354] Results,[5281] stearic acid [20.675] Results,[C20] Methyl Eicosanoate [21.441] Results,[439958] D-glucose-6-phosphate 2 [21.558] Results,[C22] Methyl Docosanoate [23.082] Results,[60961] adenosine [23.825] Results,[5988] Sucrose [23.988] Results,[C24] Methyl Linocerate [24.603] Results,[7427] D-(+) trehalose [24.752] Results,[6255] maltose  2 [24.915] Results,[C26] Methyl Hexacosanoate [26.023] Results,[439451] galactinol 2 [26.479] Results,[C28] Methyl Octacosanoate [27.349] Results,[C30] Methyl Triacontanoate [28.723] Results
,!,S4B33,251124_029.D,Sample,,11/25/2025 3:06 PM,95,9884,1574,28885,1420,185824,1570,1619,510,8199,9289,624,1072,320,19182,13419,360,2434,3685,21700,395,432,780,860,7748,154,502,3713,2790,1892,693,144,291,57202,261,997,445,2340,1501,344,17281,367,1996,705,1209,447,2284,211,1092,5004,1852,2014,385,1839,852,736718,1571,1860,1853,866,7362,841,286
,!,S4B34,251124_030.D,Sample,,11/25/2025 3:35 PM,264,66,1236,18616,1142,158454,650,1785,642,816,843,219,373,127,3729,6334,191,3296,5915,16340,390,246,237,306,2066,490,306,1689,3784,2322,947,95,1090,2380,1048,986,1412,1252,978,5473,4906,172,799,247,889,429,3021,279,1777,7281,2593,2708,512,3157,548,256745,2635,1851,254,1407,274,902,404
,!,S5A28,251124_031.D,Sample,,11/25/2025 4:05 PM,135,7811,630,27852,1122,83784,1139,1835,415,5372,5408,586,724,156,15004,7521,164,2600,7497,15648,266,578,407,497,5461,134,380,3612,2449,2184,523,193,224,15617,60,443,312,1372,1188,3324,4373,386,708,575,1295,509,1838,243,1208,4846,1393,1793,215,2112,731,970464,1416,1350,1350,1013,2312,587,218
,!,S4B11,251124_032.D,Sample,,11/25/2025 4:34 PM,119,842,1779,28806,1301,123416,3385,2155,1157,3490,3585,666,926,215,13968,24542,149,3106,3875,40097,406,492,315,1546,10826,533,524,11346,5206,2617,956,460,2021,14700,778,764,3732,1520,1639,6016,9809,621,1378,512,1245,421,6168,336,1707,9165,4379,2658,749,2453,799,1812422,2987,2904,596,1805,679,1232,374
,!,S5A27,251124_033.D,Sample,,11/25/2025 5:04 PM,132,1819,1306,1162,685,333541,1432,1588,728,3193,2577,1825,895,279,6245,36970,358,2153,9879,20554,635,555,66,1809,8571,109,550,16598,2792,1782,1063,544,648,5083,711,610,1406,1033,920,4368,1326,666,343,666,1050,508,2274,189,1673,7052,1534,1877,695,2238,586,1349930,2078,1983,1990,1274,717,709,155
,!,S5A39,251124_034.D,Sample,,11/25/2025 5:33 PM,135,831,1009,22545,1664,88758,1022,1925,655,2706,736,827,761,347,5239,19057,408,2216,6326,21845,361,806,175,979,6531,286,363,6498,2724,2091,800,184,558,9517,63,767,1225,737,732,3561,1341,515,590,515,993,437,2477,250,680,563,1414,1658,525,1954,384,885188,1779,2223,268,925,375,843,248
,!,S5A37,251124_035.D,Sample,,11/25/2025 6:02 PM,103,2896,919,43327,1114,714119,1515,2364,1188,4934,2875,970,1069,144,28962,26595,272,3260,11902,16977,395,656,371,1565,4910,105,924,9783,3148,2027,1046,827,992,5842,375,808,3242,809,692,3835,1915,531,295,438,1003,506,2225,183,1951,9955,1446,2036,381,2547,1127,1703063,2062,1116,371,1088,1154,662,185
,!,S4B29,251124_036.D,Sample,,11/25/2025 6:32 PM,118,5012,837,22167,1256,84979,2329,2256,538,5761,5304,377,769,266,10878,9318,139,2631,3886,13721,442,288,368,515,3579,98,392,2148,3275,1947,649,239,150,19842,47,1070,327,810,820,3941,2690,307,439,444,929,145,1866,300,1200,4272,1107,2337,245,1756,600,887962,1453,1183,1185,1033,3772,685,225
,!,S5A35,251124_037.D,Sample,,11/25/2025 7:01 PM,109,2530,1404,34236,1509,110242,1555,1674,530,2751,2321,460,409,177,18695,12116,198,2691,5864,9733,222,582,261,723,2096,126,477,3069,2973,1527,841,296,279,4218,282,648,1313,1392,936,3902,1696,274,503,236,595,382,2056,205,2037,8529,1084,2220,192,1956,892,1482515,1590,1148,237,1234,582,639,192
,!,S4B26,251124_038.D,Sample,,11/25/2025 7:31 PM,188,1070,1363,620,974,242144,1353,1329,531,3719,2102,409,949,237,7397,19241,167,2551,3975,23695,462,540,215,1187,5271,126,485,3911,2814,1790,885,256,957,3347,308,926,2733,692,513,3772,1882,300,456,282,1213,515,1958,71,1540,7731,1035,2232,382,2058,552,1306884,1522,1904,351,1429,287,740,443
,!,S5A15,251124_039.D,Sample,,11/25/2025 8:00 PM,85,5348,672,35242,1685,23625,759,2569,505,2301,5289,253,482,145,9829,6110,98,2178,6467,15049,232,489,162,264,2633,87,359,1424,2891,1580,728,261,189,5289,86,535,408,765,509,3280,1133,405,306,352,827,308,1958,217,1239,6312,1325,2554,94,1755,799,542853,1469,1577,1579,979,324,749,284
,!,S4B12,251124_040.D,Sample,,11/25/2025 8:29 PM,567,940,1127,8845,1197,36691,408,2013,588,110,1386,44,95,145,3884,1732,152,2565,1192,13456,1365,226,148,701,1532,538,161,2363,5045,1905,509,,583,2764,756,1008,1197,3131,3429,4617,11603,251,1254,348,659,304,3596,276,1067,3092,2796,2779,160,3264,472,86718,2347,1095,287,1577,194,1010,335
,!,S4B2,251124_041.D,Sample,,11/25/2025 8:59 PM,84,3193,894,21353,981,136996,2450,1255,312,5533,2891,534,797,266,6280,20466,180,2136,3972,11781,192,589,150,1700,2057,109,610,4194,2653,1945,901,262,415,4195,301,666,596,761,410,3631,1074,297,167,719,1006,362,2614,296,1262,6974,1416,2209,113,2259,565,1002222,1669,1619,1628,1151,354,658,289
,!,S4B18,251124_042.D,Sample,,11/25/2025 9:28 PM,428,84,1865,20397,871,181082,2875,1495,1001,2704,3969,302,550,278,17037,17700,244,3260,4356,40395,281,638,344,998,4044,510,285,3886,3282,2153,1297,133,1405,7146,239,564,2555,1944,1599,5263,10057,285,1337,1607,1061,413,6474,345,1901,9716,4384,2865,560,3272,872,1461385,3438,2065,337,1706,317,1159,448
,!,S5A23,251124_043.D,Sample,,11/25/2025 9:58 PM,85,2570,1215,27441,1086,55304,2126,1841,588,2905,4334,213,470,148,14298,4040,186,2216,2962,13535,293,536,236,293,1466,139,552,594,2929,1835,661,274,535,2764,96,602,1616,2789,1771,4076,2457,216,577,359,888,431,2286,282,1656,7732,1762,1728,154,2130,794,1224659,1328,1747,175,900,631,574,244
,!,S5A13,251124_044.D,Sample,,11/25/2025 10:27 PM,1107,318,2180,27094,1620,49897,2810,2069,982,2151,3342,208,444,283,12175,13019,142,2865,5673,36104,465,882,180,1263,4009,595,320,2953,4440,2331,1220,176,1789,6196,815,552,2944,2027,1830,6534,14852,656,1916,565,1292,413,4728,229,1825,6885,2466,3575,417,2917,700,1330951,3162,1999,412,1806,509,806,397
,!,S4B19,251124_045.D,Sample,,11/25/2025 10:57 PM,37,2731,1179,9806,1295,22807,1423,1916,254,2300,3224,511,352,110,4441,9181,95,2151,1702,5193,230,347,192,539,1270,223,245,1454,2675,1646,374,91,211,2997,72,169,233,397,402,3563,795,310,226,268,539,155,1653,147,847,2967,1211,1683,89,2003,263,229866,1453,350,96,1025,201,603,246
,!,S5A7,251124_046.D,Sample,,11/25/2025 11:26 PM,748,588,2086,24742,1031,117590,2014,2380,1169,3091,4546,344,618,173,12089,25194,150,3649,5676,41107,254,621,159,1675,4191,747,349,6844,5154,2558,945,413,2006,3005,1437,885,3953,2275,1238,7915,15789,634,1610,575,853,456,5944,345,1887,8561,2838,4044,187,3301,616,1412249,3601,1563,1585,2375,390,1033,409
,!,S5A22,251124_047.D,Sample,,11/25/2025 11:55 PM,94,2309,430,37672,1823,448284,1310,1716,450,3358,2055,1256,843,138,7648,26812,188,2356,11312,11850,295,686,129,2237,4252,270,739,8495,3144,1722,740,324,600,7362,623,488,791,489,373,3493,1539,323,478,354,892,434,2129,126,1296,5979,1763,1720,805,2304,518,1060292,1711,1444,1449,830,442,636,183
,!,S5A12,251124_048.D,Sample,,11/26/2025 12:25 AM,254,2462,990,21589,933,195525,1827,1574,513,1883,3020,478,908,151,12728,10922,231,2751,7706,12296,76,409,189,711,1318,161,361,2330,2273,1775,557,322,806,1952,289,371,2113,668,410,3152,1599,208,373,221,827,315,1759,157,1041,5301,1135,1950,340,2024,722,1101042,2136,841,858,889,528,461,270
,!,S4B37,251124_049.D,Sample,,11/26/2025 12:54 AM,,2420,1251,39439,1255,431501,1667,1874,385,3779,2880,1309,1108,200,15817,25587,166,2488,9922,14307,360,274,413,1614,2228,91,657,7079,2711,1834,952,593,837,2296,201,785,2684,884,936,3420,2359,224,600,328,1367,412,2526,65,1356,6884,1385,1842,312,2181,482,1742771,1744,1125,385,1234,393,807,216
,!,S4B4,251124_050.D,Sample,,11/26/2025 1:24 AM,121,4672,663,32699,1065,99889,3162,1914,364,2974,7541,428,576,168,11436,19308,172,2524,2169,9619,196,428,186,1523,1197,163,555,2924,2719,2079,552,71,238,3146,272,402,655,1079,1033,3346,1034,376,230,469,1006,409,1916,87,967,4430,1377,1976,292,1698,470,874509,1521,820,832,1019,186,622,197
,!,S5A31,251124_051.D,Sample,,11/26/2025 1:53 AM,93,6281,548,24704,972,122720,3537,1722,530,7146,7277,677,918,259,14095,14713,104,2885,4556,12595,181,392,278,995,3090,164,368,3859,2818,1833,449,252,334,15550,413,373,408,2287,1961,244,6880,652,1097,1108,613,341,1992,251,1029,4437,1351,1648,290,2051,719,1751201,2269,1699,1700,1162,3736,475,153
,!,S5A30,251124_052.D,Sample,,11/26/2025 2:22 AM,80,5090,525,19671,1130,85777,2735,1876,447,4583,6340,298,418,260,12647,5417,130,2264,2053,11379,220,401,404,406,1507,140,215,1067,2681,1721,604,133,194,13982,175,403,274,1288,852,3526,4876,316,992,558,751,272,2204,90,945,2982,1665,1801,180,1574,470,957156,1510,1277,1286,846,1953,359,240
,!,S5A24,251124_053.D,Sample,,11/26/2025 2:52 AM,147,1190,1065,10946,566,85830,1084,1337,584,2413,1701,530,404,100,9131,13507,133,2001,4541,11211,194,582,155,940,1846,208,499,4476,2809,1829,492,288,451,2049,25,340,1458,563,467,2900,1261,149,251,244,540,325,1876,179,985,5014,1691,2053,101,1965,385,759478,1403,1228,207,981,264,852,270
,!,S4B16,251124_054.D,Sample,,11/26/2025 3:21 AM,220,1948,1447,19053,1177,92489,2176,2081,662,524,4668,106,300,128,8754,13145,242,2838,4304,22537,338,385,242,1074,1917,639,321,2530,4011,2409,665,141,863,4555,818,849,808,1249,1652,4354,7906,351,915,801,1039,337,3872,309,1675,5487,2415,3096,240,3829,864,872338,2240,962,983,1555,465,849,282
,!,S4B39,251124_055.D,Sample,,11/26/2025 3:51 AM,126,1763,425,26700,918,173268,2022,1629,334,2457,2284,529,733,165,3394,14507,249,1917,5464,17818,346,122,201,1317,2587,88,462,2880,2842,1900,670,123,424,2146,65,469,1067,605,378,2909,1051,340,225,249,847,293,2850,105,1094,4964,1535,2210,462,1355,439,738999,1567,1199,384,1055,232,99,325
,!,S5A1,251124_056.D,Sample,,11/26/2025 4:20 AM,173,739,892,10961,1147,73000,377,1536,328,947,1393,390,308,52,2836,9942,95,1778,5532,6940,133,247,25,821,860,120,134,2252,2427,1498,396,78,157,2370,100,383,551,419,284,3487,694,168,161,230,609,200,1532,75,850,2754,1336,2257,253,1635,219,124119,1489,480,204,848,86,525,130
,!,S5A10,251124_057.D,Sample,,11/26/2025 4:49 AM,114,1340,908,24513,1105,73380,1354,1683,353,2042,2701,248,361,137,8788,8132,132,2317,5620,8155,205,531,147,650,731,89,264,769,2931,1394,425,154,302,1633,211,486,905,1439,1272,3198,1189,260,209,139,761,338,1847,165,1257,5421,1331,1739,110,1829,572,1034227,1398,934,929,890,202,424,156
,!,S5A25,251124_058.D,Sample,,11/26/2025 5:19 AM,498,373,1805,13135,677,300629,985,1910,677,1848,1751,328,540,124,13201,16770,168,2447,8799,18219,260,515,283,1216,1743,335,366,5450,4248,1965,596,513,914,3807,495,564,2314,1057,996,4523,4384,507,988,296,804,362,3070,258,1286,4609,1989,1890,301,2538,718,1234812,2897,1341,1354,1125,523,635,386
